;property_type;room_type;bed_type;accommodates;bedrooms;beds;number_of_reviews;bathrooms;price
0;Apartment;Entire home/apt;Real Bed;4;1;3;70;2;119
1;Apartment;Entire home/apt;Real Bed;4;1;2;0;1;317
2;House;Entire home/apt;Real Bed;8;3;5;51;1;80
3;Apartment;Private room;Real Bed;2;1;1;0;1;361
4;Condominium;Entire home/apt;Real Bed;2;1;1;96;1;115
5;Apartment;Private room;Real Bed;2;1;1;70;1;135
6;Apartment;Entire home/apt;Real Bed;3;1;2;3;1;699
7;Apartment;Entire home/apt;Real Bed;6;3;3;0;1;140
8;Apartment;Entire home/apt;Real Bed;5;3;3;0;1.5;933
9;Apartment;Entire home/apt;Real Bed;2;2;2;0;1;380
10;Apartment;Private room;Real Bed;3;1;2;22;1;400
11;House;Entire home/apt;Real Bed;6;2;6;1;1;527
12;Apartment;Entire home/apt;Real Bed;4;1;2;0;1;50
13;Apartment;Entire home/apt;Real Bed;5;2;2;0;2;858
14;Hostel;Private room;Real Bed;2;1;1;0;1;40
15;Apartment;Entire home/apt;Real Bed;2;1;1;12;1;40
16;Apartment;Entire home/apt;Real Bed;2;0;1;1;1;966
17;Apartment;Entire home/apt;Real Bed;4;2;2;1;1;220
18;Apartment;Private room;Real Bed;1;1;1;62;1;34
19;Apartment;Entire home/apt;Real Bed;4;2;2;24;2;298
20;Apartment;Entire home/apt;Real Bed;2;0;1;61;1;117
21;Serviced apartment;Entire home/apt;Real Bed;4;2;4;3;1;838
22;Apartment;Entire home/apt;Real Bed;3;1;1;0;1;150
23;Apartment;Private room;Real Bed;2;1;1;239;1;45
24;Apartment;Entire home/apt;Real Bed;4;1;2;0;1;264
25;Apartment;Private room;Real Bed;2;1;1;9;1;330
26;Apartment;Entire home/apt;Real Bed;6;2;3;1;2;135
27;Apartment;Entire home/apt;Real Bed;6;2;5;8;2;798
28;House;Private room;Real Bed;8;1;8;1;4;250
29;Loft;Entire home/apt;Real Bed;2;1;1;178;1;30
30;Apartment;Entire home/apt;Real Bed;2;0;1;64;1;181
31;Apartment;Entire home/apt;Real Bed;2;1;1;1;1;145
32;Apartment;Entire home/apt;Real Bed;9;3;4;22;1;180
33;Loft;Private room;Real Bed;2;1;2;0;1;185
34;Apartment;Entire home/apt;Real Bed;6;3;3;0;3;746
35;Condominium;Entire home/apt;Real Bed;4;1;2;1;1;499
36;Apartment;Private room;Real Bed;1;1;1;1;2;149
37;Guesthouse;Private room;Futon;1;1;1;81;1;181
38;Apartment;Private room;Pull-out Sofa;2;1;1;27;1;58
39;Apartment;Private room;Real Bed;2;1;1;4;1;36
40;Apartment;Entire home/apt;Real Bed;4;0;2;5;1;205
41;House;Entire home/apt;Real Bed;2;1;1;0;2.5;250
42;Apartment;Entire home/apt;Real Bed;2;0;1;0;1;43
43;Apartment;Entire home/apt;Real Bed;2;1;1;109;1;185
44;Apartment;Private room;Real Bed;2;1;1;123;1;46
45;House;Private room;Real Bed;2;1;2;8;3.5;64
46;Serviced apartment;Entire home/apt;Real Bed;6;2;5;0;2;997
47;Bed and breakfast;Private room;Real Bed;3;1;2;29;1;121
48;Guesthouse;Private room;Real Bed;2;1;1;162;1;487
49;Apartment;Private room;Real Bed;1;1;1;1;1.5;40
50;Apartment;Private room;Real Bed;2;1;1;0;2;701
51;Apartment;Private room;Real Bed;2;1;2;0;1;50
52;Apartment;Entire home/apt;Real Bed;5;2;2;9;1;275
53;House;Entire home/apt;Real Bed;14;4;10;32;4;795
54;Apartment;Entire home/apt;Real Bed;8;4;8;71;2;100
