Address;Status geocode;Formatted address;Latitude;Longitude;Type;Location Type;Street number;Street;Postal code;City;Country;Region;Department;Department number
17017339;Ok;Jardim America, Bauru - State of São Paulo, 17017-339, Brazil;-22.3460951;-49.0560741;postal_code;APPROXIMATE;;;17017-339;;Brazil;São Paulo;Bauru;Bauru
17063560;Ok;R. Antônio Alves de Souza - Jardim Vania Maria, Bauru - SP, 17063-560, Brazil;-22.3067747;-49.0991596;postal_code;APPROXIMATE;;Rua Antônio Alves de Souza;17063-560;;Brazil;São Paulo;Bauru;Bauru
17010001;Ok;R. Batista de Carvalho - Centro, Bauru - SP, 17010-001, Brazil;-22.3223108;-49.0711361;postal_code;APPROXIMATE;;Rua Batista de Carvalho;17010-001;;Brazil;São Paulo;Bauru;Bauru
17065208;Ok;R. Segundo Srg. José Mendes Leal - Jardim Nova Esperanca, Bauru - SP, 17065-208, Brazil;-22.3128686;-49.119843;postal_code;APPROXIMATE;;Rua Segundo Sargento José Mendes Leal;17065-208;;Brazil;São Paulo;Bauru;Bauru
17017383;Ok;Parque Jardim Europa, Bauru - State of São Paulo, 17017-383, Brazil;-22.3478221;-49.0543185;postal_code;APPROXIMATE;;;17017-383;;Brazil;São Paulo;Bauru;Bauru
17048290;Ok;R. Luís Levorato - Jardim Marabá, Bauru - SP, 17048-290, Brazil;-22.3653124;-49.0122437;postal_code;APPROXIMATE;;Rua Luís Levorato;17048-290;;Brazil;São Paulo;Bauru;Bauru
17012191;Ok;Vila Nova Cidade Universitaria, Bauru - State of São Paulo, 17012-191, Brazil;-22.3348158;-49.0610352;postal_code;APPROXIMATE;;;17012-191;;Brazil;São Paulo;Bauru;Bauru
17030671;Ok;Av. Orlando Ranieri - Jardim Marambá, Bauru - SP, 17030-671, Brazil;-22.3247601;-49.0452166;postal_code;APPROXIMATE;;Avenida Orlando Ranieri;17030-671;;Brazil;São Paulo;Bauru;Bauru
17050000;Ok;Rua Campos Salles - Vila Falcao, Bauru - SP, 17050-000, Brazil;-22.3251919;-49.0908103;postal_code;APPROXIMATE;;Rua Campos Salles;17050-000;;Brazil;São Paulo;Bauru;Bauru
17060570;Ok;R. Eugênio Borro - Vila Becheli, Bauru - SP, 17060-570, Brazil;-22.3146726;-49.0912858;postal_code;APPROXIMATE;;Rua Eugênio Borro;17060-570;;Brazil;São Paulo;Bauru;Bauru
17015130;Ok;R. Monsenhor Claro - Centro, Bauru - SP, 17015-130, Brazil;-22.3298159;-49.0763447;postal_code;APPROXIMATE;;Rua Monsenhor Claro;17015-130;;Brazil;São Paulo;Bauru;Bauru
17026882;Ok;Av. José Silvestri - Jardim Silvestre, Bauru - SP, 17026-882, Brazil;-22.2952969;-49.0497395;postal_code;APPROXIMATE;;Avenida José Silvestri;17026-882;;Brazil;São Paulo;Bauru;Bauru
17015200;Ok;R. Gérson França - Centro, Bauru - SP, 17015-200, Brazil;-22.3278151;-49.0758662;postal_code;APPROXIMATE;;Rua Gérson França;17015-200;;Brazil;São Paulo;Bauru;Bauru
17039520;Ok;R. Rio Taquarussu - Vila Aimores, Bauru - SP, 17039-520, Brazil;-22.3114363;-48.9954417;postal_code;APPROXIMATE;;Rua Rio Taquarussu;17039-520;;Brazil;São Paulo;Bauru;Bauru
