ID;nps_question;csat_atendimento;csat_ambiente;csat_qualidade;date;city
ID1;3;2;5;1;27/01/2023;Bauru
ID2;3;3;5;2;01/04/2023;Piracicaba
ID3;10;5;2;4;04/08/2023;Marilia
ID4;2;1;1;3;07/04/2023;Ribeirao Preto
ID5;6;3;2;1;17/07/2023;Bauru
ID6;5;1;2;2;19/01/2023;Piracicaba
ID7;4;4;1;2;01/05/2023;Marilia
ID8;6;1;1;4;26/01/2023;Ribeirao Preto
ID9;9;5;1;1;31/01/2023;Bauru
ID10;10;5;5;4;06/11/2023;Piracicaba
ID11;5;1;1;5;16/12/2023;Marilia
ID12;3;2;1;2;21/12/2023;Ribeirao Preto
ID13;9;2;4;3;03/10/2023;Bauru
ID14;9;5;4;1;03/11/2023;Piracicaba
ID15;9;2;2;5;08/05/2023;Marilia
ID16;3;1;2;3;08/02/2023;Ribeirao Preto
ID17;8;3;3;1;11/11/2023;Bauru
ID18;10;2;1;4;15/01/2023;Piracicaba
ID19;7;1;4;4;15/08/2023;Marilia
ID20;10;1;5;1;01/04/2023;Ribeirao Preto
ID21;9;2;4;4;18/08/2023;Bauru
ID22;3;1;5;3;09/02/2023;Piracicaba
ID23;4;4;1;1;27/02/2023;Marilia
ID24;1;4;3;5;26/12/2023;Ribeirao Preto
ID25;7;2;5;2;16/05/2023;Bauru
ID26;5;5;2;2;26/09/2023;Piracicaba
ID27;10;5;1;4;06/12/2023;Marilia
ID28;7;3;4;1;16/05/2023;Ribeirao Preto
ID29;9;2;3;1;13/09/2023;Bauru
ID30;9;2;4;2;16/09/2023;Piracicaba
ID31;10;1;5;1;24/07/2023;Marilia
ID32;7;4;1;3;21/06/2023;Ribeirao Preto
ID33;5;2;4;5;19/08/2023;Bauru
ID34;7;5;4;5;26/03/2023;Piracicaba
ID35;5;5;3;5;14/05/2023;Marilia
ID36;6;3;2;1;17/10/2023;Ribeirao Preto
ID37;9;4;4;5;24/05/2023;Bauru
ID38;2;5;5;5;11/10/2023;Piracicaba
ID39;5;1;4;4;21/04/2023;Marilia
ID40;8;4;1;1;30/11/2023;Ribeirao Preto
ID41;2;3;3;2;17/01/2023;Bauru
ID42;1;5;2;1;05/05/2023;Piracicaba
ID43;9;2;3;5;25/05/2023;Marilia
ID44;9;4;5;1;08/12/2023;Ribeirao Preto
ID45;6;5;2;3;25/05/2023;Bauru
ID46;5;2;5;5;24/11/2023;Piracicaba
ID47;9;5;5;1;17/06/2023;Marilia
ID48;10;3;5;4;07/11/2023;Ribeirao Preto
ID49;4;1;2;5;10/08/2023;Bauru
ID50;6;2;1;3;30/09/2023;Piracicaba
ID51;8;2;2;3;20/04/2023;Marilia
ID52;6;2;3;1;23/07/2023;Ribeirao Preto
ID53;6;1;4;2;23/04/2023;Bauru
ID54;7;3;4;4;25/09/2023;Piracicaba
ID55;1;1;1;2;26/01/2023;Marilia
ID56;6;1;1;5;15/11/2023;Ribeirao Preto
ID57;2;3;3;5;12/11/2023;Bauru
ID58;1;1;5;5;09/02/2023;Piracicaba
ID59;2;1;3;4;12/05/2023;Marilia
ID60;4;5;3;3;03/03/2023;Ribeirao Preto
ID61;5;5;2;5;02/08/2023;Bauru
ID62;6;4;4;3;21/07/2023;Piracicaba
ID63;3;3;4;1;28/08/2023;Marilia
ID64;9;5;2;4;19/05/2023;Ribeirao Preto
ID65;4;1;5;2;24/09/2023;Bauru
ID66;6;3;1;5;07/06/2023;Piracicaba
ID67;9;1;5;1;01/06/2023;Marilia
ID68;9;1;4;5;14/03/2023;Ribeirao Preto
ID69;7;4;3;2;23/05/2023;Bauru
ID70;3;2;4;3;25/06/2023;Piracicaba
ID71;8;5;2;1;13/07/2023;Marilia
ID72;9;1;4;5;13/08/2023;Ribeirao Preto
ID73;3;1;3;1;06/08/2023;Bauru
ID74;7;5;1;4;11/09/2023;Piracicaba
ID75;3;4;4;2;06/09/2023;Marilia
ID76;7;5;3;2;14/03/2023;Ribeirao Preto
ID77;6;3;5;1;06/09/2023;Bauru
ID78;10;4;4;2;09/12/2023;Piracicaba
ID79;5;3;1;3;20/01/2023;Marilia
ID80;5;3;1;1;28/10/2023;Ribeirao Preto
ID81;8;5;3;3;11/06/2023;Bauru
ID82;3;5;4;5;14/05/2023;Piracicaba
ID83;10;5;4;4;11/04/2023;Marilia
ID84;2;4;2;1;06/06/2023;Ribeirao Preto
ID85;10;3;4;4;16/12/2023;Bauru
ID86;2;3;3;5;02/02/2023;Piracicaba
ID87;10;2;2;2;10/11/2023;Marilia
ID88;6;1;4;3;19/11/2023;Ribeirao Preto
ID89;4;3;4;5;15/05/2023;Bauru
ID90;1;5;3;4;20/03/2023;Piracicaba
ID91;6;4;2;5;05/04/2023;Marilia
ID92;3;5;4;5;11/07/2023;Ribeirao Preto
ID93;8;3;2;2;24/05/2023;Bauru
ID94;3;1;3;2;21/05/2023;Piracicaba
ID95;8;3;5;3;20/11/2023;Marilia
ID96;1;5;2;2;29/05/2023;Ribeirao Preto
ID97;7;5;5;1;02/06/2023;Bauru
ID98;7;2;5;3;24/05/2023;Piracicaba
ID99;7;5;4;5;26/07/2023;Marilia
ID100;10;4;2;5;24/02/2023;Ribeirao Preto
ID101;6;2;3;1;22/03/2023;Bauru
ID102;7;1;3;5;04/11/2023;Piracicaba
ID103;10;1;3;3;20/05/2023;Marilia
ID104;5;3;1;2;04/01/2023;Ribeirao Preto
ID105;6;4;3;5;10/08/2023;Bauru
ID106;8;5;3;4;02/02/2023;Piracicaba
ID107;5;2;3;3;15/09/2023;Marilia
ID108;7;4;3;1;30/11/2023;Ribeirao Preto
ID109;4;2;1;3;13/12/2023;Bauru
ID110;3;5;3;1;25/07/2023;Piracicaba
ID111;9;3;4;2;30/11/2023;Marilia
ID112;7;1;1;4;04/01/2023;Ribeirao Preto
ID113;6;3;1;3;27/05/2023;Bauru
ID114;10;1;1;3;04/08/2023;Piracicaba
ID115;9;3;1;4;15/07/2023;Marilia
ID116;7;3;1;4;23/07/2023;Ribeirao Preto
ID117;2;2;5;4;26/04/2023;Bauru
ID118;3;4;3;3;26/02/2023;Piracicaba
ID119;8;1;3;3;27/09/2023;Marilia
ID120;4;4;4;4;14/03/2023;Ribeirao Preto
ID121;7;2;4;4;14/10/2023;Bauru
ID122;4;3;1;3;20/04/2023;Piracicaba
ID123;1;1;3;5;03/10/2023;Marilia
ID124;8;3;1;4;10/08/2023;Ribeirao Preto
ID125;4;5;5;3;19/11/2023;Bauru
ID126;9;3;4;3;10/05/2023;Piracicaba
ID127;8;3;3;3;06/02/2023;Marilia
ID128;6;5;3;5;20/11/2023;Ribeirao Preto
ID129;4;4;2;2;15/02/2023;Bauru
ID130;8;2;4;2;05/03/2023;Piracicaba
ID131;3;1;5;2;06/02/2023;Marilia
ID132;4;2;2;2;21/12/2023;Ribeirao Preto
ID133;4;3;4;5;24/08/2023;Bauru
ID134;6;4;5;4;09/03/2023;Piracicaba
ID135;1;2;1;3;18/02/2023;Marilia
ID136;10;5;2;5;07/05/2023;Ribeirao Preto
ID137;4;2;4;5;11/01/2023;Bauru
ID138;9;3;2;1;01/08/2023;Piracicaba
ID139;7;5;4;4;23/02/2023;Marilia
ID140;8;4;4;3;28/04/2023;Ribeirao Preto
ID141;5;2;1;5;31/05/2023;Bauru
ID142;2;3;2;2;10/08/2023;Piracicaba
ID143;6;5;2;4;25/08/2023;Marilia
ID144;9;1;3;3;12/04/2023;Ribeirao Preto
ID145;8;1;3;4;18/10/2023;Bauru
ID146;10;3;1;2;12/07/2023;Piracicaba
ID147;4;3;3;2;06/06/2023;Marilia
ID148;5;3;2;4;20/12/2023;Ribeirao Preto
ID149;7;2;4;2;30/07/2023;Bauru
ID150;1;2;4;3;22/11/2023;Piracicaba
ID151;8;1;5;2;14/03/2023;Marilia
ID152;8;1;2;3;10/12/2023;Ribeirao Preto
ID153;10;5;5;2;27/12/2023;Bauru
ID154;9;5;2;1;15/05/2023;Piracicaba
ID155;8;3;1;3;03/11/2023;Marilia
ID156;2;1;1;2;11/08/2023;Ribeirao Preto
ID157;5;2;3;2;01/12/2023;Bauru
ID158;9;5;1;5;09/04/2023;Piracicaba
ID159;7;1;4;2;27/04/2023;Marilia
ID160;7;3;4;4;11/11/2023;Ribeirao Preto
ID161;10;5;1;4;29/07/2023;Bauru
ID162;10;5;5;1;14/04/2023;Piracicaba
ID163;8;3;5;2;23/01/2023;Marilia
ID164;6;2;5;1;05/11/2023;Ribeirao Preto
ID165;7;5;4;5;25/07/2023;Bauru
ID166;10;1;2;1;10/10/2023;Piracicaba
ID167;1;1;3;5;25/05/2023;Marilia
ID168;9;1;5;5;13/08/2023;Ribeirao Preto
ID169;3;4;4;2;06/01/2023;Bauru
ID170;10;3;5;2;24/02/2023;Piracicaba
ID171;5;1;5;3;09/10/2023;Marilia
ID172;6;2;3;4;15/04/2023;Ribeirao Preto
ID173;9;1;5;5;30/01/2023;Bauru
ID174;4;1;4;4;01/09/2023;Piracicaba
ID175;10;1;2;2;24/03/2023;Marilia
ID176;7;5;5;1;31/08/2023;Ribeirao Preto
ID177;9;5;4;2;09/12/2023;Bauru
ID178;7;3;4;5;27/10/2023;Piracicaba
ID179;10;2;5;3;23/05/2023;Marilia
ID180;4;1;2;2;16/09/2023;Ribeirao Preto
ID181;8;3;2;4;21/07/2023;Bauru
ID182;9;2;1;3;24/02/2023;Piracicaba
ID183;9;5;5;2;22/06/2023;Marilia
ID184;9;3;3;4;07/05/2023;Ribeirao Preto
ID185;5;1;2;2;28/12/2023;Bauru
ID186;7;3;1;3;25/01/2023;Piracicaba
ID187;6;1;2;2;20/02/2023;Marilia
ID188;1;3;3;4;14/05/2023;Ribeirao Preto
ID189;10;5;4;2;20/07/2023;Bauru
ID190;10;5;2;4;20/10/2023;Piracicaba
ID191;1;5;2;4;07/11/2023;Marilia
ID192;10;2;1;1;04/05/2023;Ribeirao Preto
ID193;1;2;3;5;02/07/2023;Bauru
ID194;10;2;4;1;29/11/2023;Piracicaba
ID195;5;3;2;2;24/02/2023;Marilia
ID196;7;5;1;1;30/09/2023;Ribeirao Preto
ID197;5;2;3;5;09/11/2023;Bauru
ID198;10;4;2;4;03/04/2023;Piracicaba
ID199;9;5;2;2;06/06/2023;Marilia
ID200;4;1;4;2;26/05/2023;Ribeirao Preto
ID201;6;2;2;4;05/10/2023;Bauru
ID202;2;4;3;4;24/11/2023;Piracicaba
ID203;1;1;1;4;05/07/2023;Marilia
ID204;5;1;2;1;13/05/2023;Ribeirao Preto
ID205;9;4;2;2;10/09/2023;Bauru
ID206;4;5;4;4;10/04/2023;Piracicaba
ID207;3;3;3;4;05/10/2023;Marilia
ID208;9;1;2;2;12/06/2023;Ribeirao Preto
ID209;1;3;1;3;10/04/2023;Bauru
ID210;2;3;5;1;04/10/2023;Piracicaba
ID211;4;4;3;2;22/01/2023;Marilia
ID212;10;4;4;2;19/09/2023;Ribeirao Preto
ID213;1;5;1;4;21/07/2023;Bauru
ID214;5;3;1;3;04/05/2023;Piracicaba
ID215;5;4;4;4;21/08/2023;Marilia
ID216;9;2;2;2;06/03/2023;Ribeirao Preto
ID217;8;2;1;3;16/02/2023;Bauru
ID218;7;1;2;2;10/05/2023;Piracicaba
ID219;9;4;2;4;21/03/2023;Marilia
ID220;5;2;2;4;08/03/2023;Ribeirao Preto
ID221;2;1;1;2;26/06/2023;Bauru
